year;GDP
1960;284932124120.84
1961;316579871854.42
1962;349909662392.14
1963;384453227477.23
1964;426401497787.49
1965;466575256253.5
1966;505119166891.23
1967;537819539456.97
1968;577226091701.33
1969;644160279419.56
1970;728514942172.57
1971;823502008838.72
1972;993661642106.05
1973;1286120910863.29
1974;1455911634933.27
1975;1694087991210.29
1976;1775134721744.61
1977;2011323119783.23
1978;2449173876260.87
1979;2960022173253.44
1980;3311323687667.77
1981;2889973709007.03
1982;2787789599375.11
1983;2710791758579.87
1984;2612587953034.63
1985;2686660770245.04
1986;3753186617910.5
1987;4639527057911.29
1988;5093989397668.73
1989;5202787454853.43
1990;6505585894983.6
1991;6730843386415.03
1992;7390923732911.95
1993;6750678758563.32
1994;7157758128808.33
1995;8298203234321.61
1996;8433442480253.41
1997;7735785821341.68
1998;7970027660687.74
1999;7936013301296.29
2000;7288425137833.71
2001;7407567318765.1
2002;8100404174621.05
2003;9956956923132.03
2004;11449209190750.55
2005;11954464169720.834
2006;12768477269004.06
2007;14789546650988.457
2008;16365149239989.139
2009;14846338374807.76
2010;14643444297949.932
2011;15876630398615.764
2012;14733979958478.387
2013;15400027456553.39
2014;15764812909324.066
2015;13655089869785.297
2016;13990270946691.55
2017;14870065692850.43
2018;16091487781135.486
2019;15808398315797.014
2020;15504700009592.959
2021;17496551469916.346
2022;16995332000257.76
2023;18590720056635.33
