console,week,sales
PS3,2006-11-11,0
PS3,2006-11-18,0
PS3,2006-11-25,0
PS3,2006-12-02,0
PS3,2006-12-09,0
PS3,2006-12-16,0
PS3,2006-12-23,0
PS3,2006-12-30,0
PS3,2007-01-06,0
PS3,2007-01-13,0
PS3,2007-01-20,0
PS3,2007-01-27,0
PS3,2007-02-03,0
PS3,2007-02-10,0
PS3,2007-02-17,0
PS3,2007-02-24,0
PS3,2007-03-03,0
PS3,2007-03-10,0
PS3,2007-03-17,0
PS3,2007-03-24,516123
PS3,2007-03-31,105568
PS3,2007-04-07,68786
PS3,2007-04-14,51680
PS3,2007-04-21,41717
PS3,2007-04-28,34701
PS3,2007-05-05,32061
PS3,2007-05-12,30474
PS3,2007-05-19,27719
PS3,2007-05-26,25565
PS3,2007-06-02,23586
PS3,2007-06-09,21520
PS3,2007-06-16,21878
PS3,2007-06-23,22861
PS3,2007-06-30,22419
PS3,2007-07-07,21535
PS3,2007-07-14,20063
PS3,2007-07-21,22642
PS3,2007-07-28,28413
PS3,2007-08-04,34239
PS3,2007-08-11,32926
PS3,2007-08-18,31202
PS3,2007-08-25,31745
PS3,2007-09-01,32610
PS3,2007-09-08,31091
PS3,2007-09-15,30950
PS3,2007-09-22,31696
PS3,2007-09-29,39001
PS3,2007-10-06,39103
PS3,2007-10-13,105539
PS3,2007-10-20,104930
PS3,2007-10-27,93231
PS3,2007-11-03,81339
PS3,2007-11-10,85624
PS3,2007-11-17,97548
PS3,2007-11-24,119976
PS3,2007-12-01,172085
PS3,2007-12-08,225700
PS3,2007-12-15,272101
PS3,2007-12-22,312567
PS3,2007-12-29,210155
PS3,2008-01-05,105470
PS3,2008-01-12,73816
PS3,2008-01-19,59684
PS3,2008-01-26,58876
PS3,2008-02-02,54537
PS3,2008-02-09,54834
PS3,2008-02-16,55489
PS3,2008-02-23,53001
PS3,2008-03-01,59232
PS3,2008-03-08,55042
PS3,2008-03-15,56338
PS3,2008-03-22,74726
PS3,2008-03-29,97127
PS3,2008-04-05,91877
PS3,2008-04-12,71949
PS3,2008-04-19,60319
PS3,2008-04-26,48681
PS3,2008-05-03,101552
PS3,2008-05-10,71944
PS3,2008-05-17,59077
PS3,2008-05-24,56101
PS3,2008-05-31,59058
PS3,2008-06-07,52796
PS3,2008-06-14,51436
PS3,2008-06-21,53696
PS3,2008-06-28,63217
PS3,2008-07-05,54842
PS3,2008-07-12,48493
PS3,2008-07-19,40828
PS3,2008-07-26,32670
PS3,2008-08-02,34528
PS3,2008-08-09,35295
PS3,2008-08-16,31051
PS3,2008-08-23,66026
PS3,2008-08-30,76492
PS3,2008-09-06,65053
PS3,2008-09-13,61393
PS3,2008-09-20,49172
PS3,2008-09-27,50117
PS3,2008-10-04,68530
PS3,2008-10-11,74030
PS3,2008-10-18,61503
PS3,2008-10-25,57212
PS3,2008-11-01,83266
PS3,2008-11-08,95786
PS3,2008-11-15,100104
PS3,2008-11-22,100897
PS3,2008-11-29,148471
PS3,2008-12-06,182006
PS3,2008-12-13,209038
PS3,2008-12-20,227432
PS3,2008-12-27,203322
PS3,2009-01-03,141093
PS3,2009-01-10,84841
PS3,2009-01-17,59660
PS3,2009-01-24,59011
PS3,2009-01-31,58122
PS3,2009-02-07,44463
PS3,2009-02-14,40396
PS3,2009-02-21,34232
PS3,2009-02-28,42603
PS3,2009-03-07,47700
PS3,2009-03-14,46920
PS3,2009-03-21,35016
PS3,2009-03-28,44248
PS3,2009-04-04,41409
PS3,2009-04-11,38744
PS3,2009-04-18,36251
PS3,2009-04-25,31562
PS3,2009-05-02,36308
PS3,2009-05-09,36765
PS3,2009-05-16,34984
PS3,2009-05-23,33625
PS3,2009-05-30,34530
PS3,2009-06-06,35498
PS3,2009-06-13,35942
PS3,2009-06-20,37333
PS3,2009-06-27,38713
PS3,2009-07-04,42611
PS3,2009-07-11,41202
PS3,2009-07-18,39294
PS3,2009-07-25,36253
PS3,2009-08-01,40793
PS3,2009-08-08,39088
PS3,2009-08-15,43917
PS3,2009-08-22,35708
PS3,2009-08-29,39306
PS3,2009-09-05,215053
PS3,2009-09-12,131334
PS3,2009-09-19,114378
PS3,2009-09-26,98260
PS3,2009-10-03,128196
PS3,2009-10-10,113242
PS3,2009-10-17,107388
PS3,2009-10-24,105044
PS3,2009-10-31,117419
PS3,2009-11-07,145656
PS3,2009-11-14,196965
PS3,2009-11-21,179466
PS3,2009-11-28,195670
PS3,2009-12-05,258926
PS3,2009-12-12,275168
PS3,2009-12-19,284825
PS3,2009-12-26,300317
PS3,2010-01-02,187150
PS3,2010-01-09,144932
PS3,2010-01-16,86317
PS3,2010-01-23,72572
PS3,2010-01-30,78101
PS3,2010-02-06,72084
PS3,2010-02-13,71048
PS3,2010-02-20,59739
PS3,2010-02-27,70451
PS3,2010-03-06,71207
PS3,2010-03-13,74975
PS3,2010-03-20,73339
PS3,2010-03-27,60174
PS3,2010-04-03,67684
PS3,2010-04-10,54805
PS3,2010-04-17,55106
PS3,2010-04-24,50023
PS3,2010-05-01,53044
PS3,2010-05-08,67509
PS3,2010-05-15,67098
PS3,2010-05-22,54215
PS3,2010-05-29,56827
PS3,2010-06-05,60189
PS3,2010-06-12,52563
PS3,2010-06-19,53993
PS3,2010-06-26,55060
PS3,2010-07-03,61289
PS3,2010-07-10,57901
PS3,2010-07-17,54338
PS3,2010-07-24,46349
PS3,2010-07-31,55934
PS3,2010-08-07,57703
PS3,2010-08-14,58916
PS3,2010-08-21,49820
PS3,2010-08-28,52640
PS3,2010-09-04,53338
PS3,2010-09-11,46944
PS3,2010-09-18,62035
PS3,2010-09-25,64514
PS3,2010-10-02,84637
PS3,2010-10-09,87892
PS3,2010-10-16,93508
PS3,2010-10-23,91454
PS3,2010-10-30,101174
PS3,2010-11-06,130334
PS3,2010-11-13,144990
PS3,2010-11-20,121401
PS3,2010-11-27,210072
PS3,2010-12-04,240126
PS3,2010-12-11,258296
PS3,2010-12-18,268574
PS3,2010-12-25,271813
PS3,2011-01-01,184742
PS3,2011-01-08,147761
PS3,2011-01-15,93927
PS3,2011-01-22,85144
PS3,2011-01-29,90947
PS3,2011-02-05,84477
PS3,2011-02-12,73463
PS3,2011-02-19,73796
PS3,2011-02-26,80289
PS3,2011-03-05,79208
PS3,2011-03-12,72356
PS3,2011-03-19,69679
PS3,2011-03-26,66938
PS3,2011-04-02,70125
PS3,2011-04-09,63831
PS3,2011-04-16,67119
PS3,2011-04-23,71094
PS3,2011-04-30,55538
PS3,2011-05-07,58603
PS3,2011-05-14,52357
PS3,2011-05-21,59934
PS3,2011-05-28,61112
PS3,2011-06-04,60720
PS3,2011-06-11,61389
PS3,2011-06-18,55741
PS3,2011-06-25,66573
PS3,2011-07-02,83876
PS3,2011-07-09,76453
PS3,2011-07-16,67933
PS3,2011-07-23,65059
PS3,2011-07-30,69584
PS3,2011-08-06,76494
PS3,2011-08-13,62532
PS3,2011-08-20,64280
PS3,2011-08-27,78432
PS3,2011-09-03,96770
PS3,2011-09-10,84833
PS3,2011-09-17,83504
PS3,2011-09-24,81768
PS3,2011-10-01,105714
PS3,2011-10-08,113638
PS3,2011-10-15,91051
PS3,2011-10-22,90638
PS3,2011-10-29,106890
PS3,2011-11-05,134195
PS3,2011-11-12,146856
PS3,2011-11-19,134279
PS3,2011-11-26,196438
PS3,2011-12-03,230699
PS3,2011-12-10,244355
PS3,2011-12-17,274142
PS3,2011-12-24,291788
PS3,2011-12-31,183616
PS3,2012-01-07,130031
PS3,2012-01-14,89981
PS3,2012-01-21,78628
PS3,2012-01-28,79851
PS3,2012-02-04,81852
PS3,2012-02-11,75234
PS3,2012-02-18,71991
PS3,2012-02-25,67135
PS3,2012-03-03,71197
PS3,2012-03-10,68263
PS3,2012-03-17,58462
PS3,2012-03-24,53666
PS3,2012-03-31,61437
PS3,2012-04-07,69288
PS3,2012-04-14,62322
PS3,2012-04-21,57548
PS3,2012-04-28,49678
PS3,2012-05-05,47377
PS3,2012-05-12,45546
PS3,2012-05-19,48580
PS3,2012-05-26,50695
PS3,2012-06-02,51076
PS3,2012-06-09,47445
PS3,2012-06-16,47747
PS3,2012-06-23,49435
PS3,2012-06-30,52529
PS3,2012-07-07,50605
PS3,2012-07-14,49471
PS3,2012-07-21,46363
PS3,2012-07-28,50181
PS3,2012-08-04,52420
PS3,2012-08-11,48337
PS3,2012-08-18,47660
PS3,2012-08-25,45663
PS3,2012-09-01,46884
PS3,2012-09-08,42822
PS3,2012-09-15,40908
PS3,2012-09-22,41600
PS3,2012-09-29,73820
PS3,2012-10-06,80440
PS3,2012-10-13,94045
PS3,2012-10-20,70993
PS3,2012-10-27,78899
PS3,2012-11-03,119551
PS3,2012-11-10,107202
PS3,2012-11-17,125657
PS3,2012-11-24,256023
PS3,2012-12-01,170292
PS3,2012-12-08,171563
PS3,2012-12-15,184962
PS3,2012-12-22,199934
PS3,2012-12-29,143702
PS3,2013-01-05,96997
PS3,2013-01-12,62124
PS3,2013-01-19,54691
PS3,2013-01-26,51467
PS3,2013-02-02,50742
PS3,2013-02-09,43106
PS3,2013-02-16,45960
PS3,2013-02-23,39445
PS3,2013-03-02,44379
PS3,2013-03-09,42818
PS3,2013-03-16,40503
PS3,2013-03-23,37989
PS3,2013-03-30,50389
PS3,2013-04-06,43889
PS3,2013-04-13,40523
PS3,2013-04-20,38431
PS3,2013-04-27,36244
PS3,2013-05-04,33283
PS3,2013-05-11,32093
PS3,2013-05-18,32833
PS3,2013-05-25,31767
PS3,2013-06-01,30610
PS3,2013-06-08,28502
PS3,2013-06-15,32727
PS3,2013-06-22,30164
PS3,2013-06-29,29602
PS3,2013-07-06,27249
PS3,2013-07-13,26837
PS3,2013-07-20,25968
PS3,2013-07-27,25810
PS3,2013-08-03,26880
PS3,2013-08-10,25370
PS3,2013-08-17,25621
PS3,2013-08-24,27768
PS3,2013-08-31,29430
PS3,2013-09-07,27383
PS3,2013-09-14,25561
PS3,2013-09-21,126518
PS3,2013-09-28,78740
PS3,2013-10-05,54647
PS3,2013-10-12,46824
PS3,2013-10-19,43529
PS3,2013-10-26,42791
PS3,2013-11-02,45541
PS3,2013-11-09,60558
PS3,2013-11-16,53960
PS3,2013-11-23,60683
PS3,2013-11-30,67003
PS3,2013-12-07,79528
PS3,2013-12-14,100268
PS3,2013-12-21,113288
PS3,2013-12-28,97348
PS3,2014-01-04,56124
PS3,2014-01-11,31439
PS3,2014-01-18,26032
PS3,2014-01-25,26026
PS3,2014-02-01,26328
PS3,2014-02-08,25222
PS3,2014-02-15,27146
PS3,2014-02-22,26902
PS3,2014-03-01,27421
PS3,2014-03-08,26170
PS3,2014-03-15,23562
PS3,2014-03-22,22460
PS3,2014-03-29,25770
PS3,2014-04-05,23925
PS3,2014-04-12,23650
PS3,2014-04-19,22798
PS3,2014-04-26,21794
PS3,2014-05-03,20506
PS3,2014-05-10,19248
PS3,2014-05-17,20543
PS3,2014-05-24,21174
PS3,2014-05-31,19494
PS3,2014-06-07,18562
PS3,2014-06-14,19612
PS3,2014-06-21,19179
PS3,2014-06-28,20322
PS3,2014-07-05,18913
PS3,2014-07-12,18575
PS3,2014-07-19,17413
PS3,2014-07-26,18073
PS3,2014-08-02,18991
PS3,2014-08-09,16649
PS3,2014-08-16,16125
PS3,2014-08-23,15607
PS3,2014-08-30,15571
PS3,2014-09-06,21994
PS3,2014-09-13,21885
PS3,2014-09-20,17353
PS3,2014-09-27,21649
PS3,2014-10-04,20435
PS3,2014-10-11,19740
PS3,2014-10-18,18659
PS3,2014-10-25,19776
PS3,2014-11-01,22136
PS3,2014-11-08,27318
PS3,2014-11-15,25490
PS3,2014-11-22,29204
PS3,2014-11-29,41065
PS3,2014-12-06,40620
PS3,2014-12-13,45360
PS3,2014-12-20,47386
PS3,2014-12-27,47827
PS3,2015-01-03,34096
PS3,2015-01-10,17407
PS3,2015-01-17,15334
PS3,2015-01-24,15374
PS3,2015-01-31,15250
PS3,2015-02-07,15220
PS3,2015-02-14,15826
PS3,2015-02-21,15416
PS3,2015-02-28,15513
PS3,2015-03-07,14612
PS3,2015-03-14,13635
PS3,2015-03-21,11703
PS3,2015-03-28,13195
PS3,2015-04-04,12942
PS3,2015-04-11,12453
PS3,2015-04-18,12020
PS3,2015-04-25,12055
PS3,2015-05-02,11736
PS3,2015-05-09,11120
PS3,2015-05-16,11574
PS3,2015-05-23,11716
PS3,2015-05-30,11088
PS3,2015-06-06,10764
PS3,2015-06-13,10823
PS3,2015-06-20,10824
PS3,2015-06-27,10975
PS3,2015-07-04,10383
PS3,2015-07-11,9937
PS3,2015-07-18,9667
PS3,2015-07-25,9710
PS3,2015-08-01,9812
PS3,2015-08-08,9268
PS3,2015-08-15,9105
PS3,2015-08-22,9262
PS3,2015-08-29,9273
PS3,2015-09-05,9049
PS3,2015-09-12,10017
PS3,2015-09-19,12111
PS3,2015-09-26,12204
PS3,2015-10-03,11325
PS3,2015-10-10,10784
PS3,2015-10-17,10080
PS3,2015-10-24,10391
PS3,2015-10-31,11465
PS3,2015-11-07,11253
PS3,2015-11-14,10546
PS3,2015-11-21,11403
PS3,2015-11-28,13062
PS3,2015-12-05,14146
PS3,2015-12-12,15755
PS3,2015-12-19,16772
PS3,2015-12-26,18645
PS3,2016-01-02,12869
PS3,2016-01-09,7410
PS3,2016-01-16,6813
PS3,2016-01-23,6738
PS3,2016-01-30,6821
PS3,2016-02-06,6366
PS3,2016-02-13,6578
PS3,2016-02-20,6451
PS3,2016-02-27,6560
PS3,2016-03-05,6304
PS3,2016-03-12,6112
PS3,2016-03-19,5939
PS3,2016-03-26,6387
PS3,2016-04-02,6156
PS3,2016-04-09,6205
PS3,2016-04-16,6263
PS3,2016-04-23,5816
PS3,2016-04-30,5829
PS3,2016-05-07,5577
PS3,2016-05-14,5764
PS3,2016-05-21,5862
PS3,2016-05-28,5602
PS3,2016-06-04,5447
PS3,2016-06-11,5616
PS3,2016-06-18,5548
PS3,2016-06-25,5670
PS3,2016-07-02,5422
PS3,2016-07-09,5265
PS3,2016-07-16,5222
PS3,2016-07-23,5270
PS3,2016-07-30,5352
PS3,2016-08-06,5106
PS3,2016-08-13,5035
PS3,2016-08-20,5045
PS3,2016-08-27,5105
PS3,2016-09-03,5104
PS3,2016-09-10,5535
PS3,2016-09-17,7386
PS3,2016-09-24,6691
PS3,2016-10-01,6575
PS3,2016-10-08,5970
PS3,2016-10-15,5844
PS3,2016-10-22,5830
PS3,2016-10-29,6136
PS3,2016-11-05,6659
PS3,2016-11-12,6326
PS3,2016-11-19,6792
PS3,2016-11-26,8705
PS3,2016-12-03,8577
PS3,2016-12-10,9313
PS3,2016-12-17,9732
PS3,2016-12-24,9966
PS3,2016-12-31,7683
PS3,2017-01-07,5902
PS3,2017-01-14,4448
PS3,2017-01-21,4497
PS3,2017-01-28,4403
