year;GDP
1960;1371947205151.18
1961;1445950587026.23
1962;1550597670600.03
1963;1669569735937.23
1964;1830168405451.36
1965;1994297576262.09
1966;2161754227675.23
1967;2293943739361.93
1968;2478900302001.25
1969;2738143638273.34
1970;3003116289070
1971;3318577763684.85
1972;3833100090143
1973;4687590908817.55
1974;5418369997022.55
1975;6033156160029.94
1976;6558692084468.9
1977;7414824793154.85
1978;8778339992333.92
1979;10153805685261.703
1980;11449695442678.012
1981;11839946290807.043
1982;11716617789328.47
1983;11960039294489.287
1984;12424879538978.723
1985;13013695543914.61
1986;15344248521526.299
1987;17466868979760.83
1988;19517437502346.613
1989;20386716203505.223
1990;22987402273855.305
1991;23911650750982.35
1992;25534209067457.66
1993;25958546729023.5
1994;27941899637871.32
1995;31149677985790.277
1996;31866900968539.25
1997;31760810644454.637
1998;31702676349248.133
1999;32747088959180.203
2000;33855853033266.633
2001;33646060924936.85
2002;34940171807391.59
2003;39181755907935.42
2004;44151098975077.95
2005;47811684840222.68
2006;51815358465522.11
2007;58389218140008.67
2008;64152276357317.02
2009;60814498796339.055
2010;66609708734786.266
2011;74080837776246.31
2012;75705854038889.11
2013;77873446166547.03
2014;80020337644636.28
2015;75472473882835.12
2016;76702553625899.1
2017;81712043350515.47
2018;86884839554431.56
2019;88149850742945.95
2020;85763013427792.92
2021;97848299706454.84
2022;100000000000000
2023;100000000000000
