console,week,sales
PS3,2006-11-11,86742
PS3,2006-11-18,205065
PS3,2006-11-25,103130
PS3,2006-12-02,129750
PS3,2006-12-09,162737
PS3,2006-12-16,200001
PS3,2006-12-23,190595
PS3,2006-12-30,174020
PS3,2007-01-06,136611
PS3,2007-01-13,89482
PS3,2007-01-20,79783
PS3,2007-01-27,74220
PS3,2007-02-03,70671
PS3,2007-02-10,66849
PS3,2007-02-17,53197
PS3,2007-02-24,49869
PS3,2007-03-03,80401
PS3,2007-03-10,79434
PS3,2007-03-17,58436
PS3,2007-03-24,603976
PS3,2007-03-31,162406
PS3,2007-04-07,118003
PS3,2007-04-14,96957
PS3,2007-04-21,83133
PS3,2007-04-28,78345
PS3,2007-05-05,80550
PS3,2007-05-12,70401
PS3,2007-05-19,65132
PS3,2007-05-26,64512
PS3,2007-06-02,63274
PS3,2007-06-09,59292
PS3,2007-06-16,60022
PS3,2007-06-23,58304
PS3,2007-06-30,60913
PS3,2007-07-07,63505
PS3,2007-07-14,96644
PS3,2007-07-21,90710
PS3,2007-07-28,116894
PS3,2007-08-04,107626
PS3,2007-08-11,99663
PS3,2007-08-18,102078
PS3,2007-08-25,92527
PS3,2007-09-01,100194
PS3,2007-09-08,99852
PS3,2007-09-15,77846
PS3,2007-09-22,73382
PS3,2007-09-29,86273
PS3,2007-10-06,84503
PS3,2007-10-13,157901
PS3,2007-10-20,160822
PS3,2007-10-27,166324
PS3,2007-11-03,164681
PS3,2007-11-10,236409
PS3,2007-11-17,257304
PS3,2007-11-24,380441
PS3,2007-12-01,400190
PS3,2007-12-08,483939
PS3,2007-12-15,585839
PS3,2007-12-22,657716
PS3,2007-12-29,417445
PS3,2008-01-05,266879
PS3,2008-01-12,178821
PS3,2008-01-19,166017
PS3,2008-01-26,170787
PS3,2008-02-02,180693
PS3,2008-02-09,168537
PS3,2008-02-16,159769
PS3,2008-02-23,167193
PS3,2008-03-01,177325
PS3,2008-03-08,151858
PS3,2008-03-15,140768
PS3,2008-03-22,175009
PS3,2008-03-29,184400
PS3,2008-04-05,169287
PS3,2008-04-12,139234
PS3,2008-04-19,137184
PS3,2008-04-26,133374
PS3,2008-05-03,239942
PS3,2008-05-10,158892
PS3,2008-05-17,135416
PS3,2008-05-24,127085
PS3,2008-05-31,126396
PS3,2008-06-07,129132
PS3,2008-06-14,309807
PS3,2008-06-21,172197
PS3,2008-06-28,155048
PS3,2008-07-05,146307
PS3,2008-07-12,151246
PS3,2008-07-19,133476
PS3,2008-07-26,91448
PS3,2008-08-02,101586
PS3,2008-08-09,109614
PS3,2008-08-16,112203
PS3,2008-08-23,155467
PS3,2008-08-30,167985
PS3,2008-09-06,143462
PS3,2008-09-13,133147
PS3,2008-09-20,116500
PS3,2008-09-27,125776
