Date;Value
01/04/1971;357.73
01/05/1971;357.81
01/06/1971;357.86
01/07/1971;357.87
01/08/1971;357.82
01/11/1971;357.95
01/12/1971;358.06
01/13/1971;358.44
01/14/1971;358.4
01/15/1971;358.4
01/18/1971;358.29
01/19/1971;358.35
01/20/1971;358.4
01/21/1971;358.27
01/22/1971;357.9
01/25/1971;357.73
01/26/1971;357.78
01/27/1971;357.79
01/28/1971;357.83
01/29/1971;357.72
02/01/1971;357.67
02/02/1971;357.55
02/03/1971;357.54
02/04/1971;357.51
02/05/1971;357.53
02/08/1971;357.49
02/09/1971;357.5
02/10/1971;357.5
02/11/1971;357.5
02/16/1971;357.53
02/17/1971;357.53
02/18/1971;357.53
02/19/1971;357.56
02/22/1971;357.6
02/23/1971;357.55
02/24/1971;357.6
02/25/1971;357.56
02/26/1971;357.56
03/01/1971;357.63
03/02/1971;357.56
03/03/1971;357.49
03/04/1971;357.45
03/05/1971;357.59
03/08/1971;357.55
03/09/1971;357.46
03/10/1971;357.59
03/11/1971;357.56
03/12/1971;357.58
03/15/1971;357.54
03/16/1971;357.49
03/17/1971;357.53
03/18/1971;357.56
03/19/1971;357.56
03/22/1971;357.44
03/23/1971;357.53
03/24/1971;357.53
03/25/1971;357.47
03/26/1971;357.47
03/29/1971;357.44
03/30/1971;357.49
03/31/1971;357.42
04/01/1971;357.49
04/02/1971;357.53
04/05/1971;357.5
04/06/1971;357.46
04/07/1971;357.55
04/08/1971;357.55
04/09/1971;357.5
04/12/1971;357.5
04/13/1971;357.62
04/14/1971;357.58
04/15/1971;357.5
04/16/1971;357.54
04/19/1971;357.49
04/20/1971;357.49
04/21/1971;357.49
04/22/1971;357.49
04/23/1971;357.49
04/26/1971;357.5
04/27/1971;357.49
04/28/1971;357.5
04/29/1971;357.41
04/30/1971;357.4
05/03/1971;357.41
05/04/1971;357.4
05/05/1971;357.4
05/06/1971;357.41
05/07/1971;357.41
05/10/1971;357.14
05/11/1971;357.44
05/12/1971;357.53
05/13/1971;357.49
05/14/1971;357.49
05/17/1971;357.4
05/18/1971;357.44
05/19/1971;357.4
05/20/1971;357.46
05/21/1971;357.4
05/24/1971;357.4
05/25/1971;357.4
