console,week,sales
X360,2005-11-26,0
X360,2005-12-03,0
X360,2005-12-10,54644
X360,2005-12-17,10786
X360,2005-12-24,6785
X360,2005-12-31,12808
X360,2006-01-07,8308
X360,2006-01-14,5524
X360,2006-01-21,3285
X360,2006-01-28,2097
X360,2006-02-04,2171
X360,2006-02-11,1417
X360,2006-02-18,1301
X360,2006-02-25,1177
X360,2006-03-04,1164
X360,2006-03-11,1200
X360,2006-03-18,1143
X360,2006-03-25,1527
X360,2006-04-01,3035
X360,2006-04-08,1901
X360,2006-04-15,1909
X360,2006-04-22,3524
X360,2006-04-29,2701
X360,2006-05-06,2243
X360,2006-05-13,1468
X360,2006-05-20,1451
X360,2006-05-27,1267
X360,2006-06-03,1205
X360,2006-06-10,1177
X360,2006-06-17,1519
X360,2006-06-24,1354
X360,2006-07-01,1726
X360,2006-07-08,1227
X360,2006-07-15,1051
X360,2006-07-22,1357
X360,2006-07-29,1558
X360,2006-08-05,1217
X360,2006-08-12,1073
X360,2006-08-19,1541
X360,2006-08-26,1034
X360,2006-09-02,1078
X360,2006-09-09,938
X360,2006-09-16,880
X360,2006-09-23,1142
X360,2006-09-30,2261
X360,2006-10-07,2164
X360,2006-10-14,1795
X360,2006-10-21,1326
X360,2006-10-28,1470
X360,2006-11-04,6672
X360,2006-11-11,4173
X360,2006-11-18,4330
X360,2006-11-25,7111
X360,2006-12-02,4460
X360,2006-12-09,37821
X360,2006-12-16,18735
X360,2006-12-23,18913
X360,2006-12-30,18170
X360,2007-01-06,19993
X360,2007-01-13,9116
X360,2007-01-20,7133
X360,2007-01-27,7727
X360,2007-02-03,5994
X360,2007-02-10,4733
X360,2007-02-17,5092
X360,2007-02-24,4246
X360,2007-03-03,3986
X360,2007-03-10,3385
X360,2007-03-17,3161
X360,2007-03-24,3661
X360,2007-03-31,3946
X360,2007-04-07,3371
X360,2007-04-14,3221
X360,2007-04-21,2658
X360,2007-04-28,3446
X360,2007-05-05,3583
X360,2007-05-12,2304
X360,2007-05-19,2226
X360,2007-05-26,2425
X360,2007-06-02,2622
X360,2007-06-09,2865
X360,2007-06-16,7847
X360,2007-06-23,3825
X360,2007-06-30,3848
X360,2007-07-07,2948
X360,2007-07-14,3390
X360,2007-07-21,2799
X360,2007-07-28,3995
X360,2007-08-04,3088
X360,2007-08-11,2530
X360,2007-08-18,2766
X360,2007-08-25,2216
X360,2007-09-01,1904
X360,2007-09-08,1589
X360,2007-09-15,1516
X360,2007-09-22,1796
X360,2007-09-29,5673
X360,2007-10-06,2393
X360,2007-10-13,6829
X360,2007-10-20,4126
X360,2007-10-27,3717
X360,2007-11-03,17857
X360,2007-11-10,6601
X360,2007-11-17,6296
X360,2007-11-24,6652
X360,2007-12-01,6093
X360,2007-12-08,8588
X360,2007-12-15,8889
X360,2007-12-22,8244
X360,2007-12-29,9015
X360,2008-01-05,11723
X360,2008-01-12,5248
X360,2008-01-19,4610
X360,2008-01-26,4375
X360,2008-02-02,6108
X360,2008-02-09,3355
X360,2008-02-16,3140
X360,2008-02-23,2473
X360,2008-03-01,2566
X360,2008-03-08,2776
X360,2008-03-15,2186
X360,2008-03-22,2064
X360,2008-03-29,2239
X360,2008-04-05,1932
X360,2008-04-12,1724
X360,2008-04-19,1465
X360,2008-04-26,1639
X360,2008-05-03,1970
X360,2008-05-10,1544
X360,2008-05-17,1480
X360,2008-05-24,1878
X360,2008-05-31,1884
X360,2008-06-07,2256
X360,2008-06-14,2195
X360,2008-06-21,2313
X360,2008-06-28,4256
X360,2008-07-05,4108
X360,2008-07-12,3403
X360,2008-07-19,3971
X360,2008-07-26,4970
X360,2008-08-02,6028
X360,2008-08-09,24726
X360,2008-08-16,7352
X360,2008-08-23,3712
X360,2008-08-30,3143
X360,2008-09-06,951
X360,2008-09-13,28719
X360,2008-09-20,14027
X360,2008-09-27,10752
X360,2008-10-04,8015
X360,2008-10-11,7299
X360,2008-10-18,6997
X360,2008-10-25,7446
X360,2008-11-01,6272
X360,2008-11-08,11493
X360,2008-11-15,8374
X360,2008-11-22,14884
X360,2008-11-29,11829
X360,2008-12-06,10100
X360,2008-12-13,12019
X360,2008-12-20,13080
X360,2008-12-27,13136
X360,2009-01-03,19540
X360,2009-01-10,9444
X360,2009-01-17,8333
X360,2009-01-24,7323
X360,2009-01-31,7398
X360,2009-02-07,8086
X360,2009-02-14,9999
X360,2009-02-21,25209
X360,2009-02-28,13181
X360,2009-03-07,14642
X360,2009-03-14,7968
X360,2009-03-21,5323
X360,2009-03-28,4267
X360,2009-04-04,6824
X360,2009-04-11,9612
X360,2009-04-18,8207
X360,2009-04-25,6119
X360,2009-05-02,7848
X360,2009-05-09,5185
X360,2009-05-16,3703
X360,2009-05-23,4370
X360,2009-05-30,5483
X360,2009-06-06,6325
X360,2009-06-13,7431
X360,2009-06-20,6481
X360,2009-06-27,5538
X360,2009-07-04,5543
X360,2009-07-11,3414
X360,2009-07-18,2827
X360,2009-07-25,2767
X360,2009-08-01,3107
X360,2009-08-08,4513
X360,2009-08-15,8364
X360,2009-08-22,7615
X360,2009-08-29,6542
X360,2009-09-05,5771
X360,2009-09-12,7171
X360,2009-09-19,4527
X360,2009-09-26,4320
X360,2009-10-03,3458
X360,2009-10-10,3306
X360,2009-10-17,3364
X360,2009-10-24,3671
X360,2009-10-31,5478
X360,2009-11-07,4383
X360,2009-11-14,4153
X360,2009-11-21,3578
X360,2009-11-28,3477
X360,2009-12-05,4855
X360,2009-12-12,9999
X360,2009-12-19,7976
X360,2009-12-26,7165
X360,2010-01-02,6853
X360,2010-01-09,7116
X360,2010-01-16,4230
X360,2010-01-23,3759
X360,2010-01-30,4636
X360,2010-02-06,3990
X360,2010-02-13,2863
X360,2010-02-20,2453
X360,2010-02-27,3689
X360,2010-03-06,3036
X360,2010-03-13,2344
X360,2010-03-20,2614
X360,2010-03-27,4183
X360,2010-04-03,2447
X360,2010-04-10,2943
X360,2010-04-17,2295
X360,2010-04-24,2008
X360,2010-05-01,4431
X360,2010-05-08,3769
X360,2010-05-15,4558
X360,2010-05-22,4156
X360,2010-05-29,3105
X360,2010-06-05,2685
X360,2010-06-12,2593
X360,2010-06-19,1654
X360,2010-06-26,17604
X360,2010-07-03,7685
X360,2010-07-10,6024
X360,2010-07-17,5976
X360,2010-07-24,5874
X360,2010-07-31,7591
X360,2010-08-07,5293
X360,2010-08-14,4820
X360,2010-08-21,3883
X360,2010-08-28,2587
X360,2010-09-04,2348
X360,2010-09-11,2576
X360,2010-09-18,5288
X360,2010-09-25,2687
X360,2010-10-02,2730
X360,2010-10-09,2599
X360,2010-10-16,2335
X360,2010-10-23,2126
X360,2010-10-30,2957
X360,2010-11-06,2672
X360,2010-11-13,2140
X360,2010-11-20,6348
X360,2010-11-27,4284
X360,2010-12-04,3693
X360,2010-12-11,3812
X360,2010-12-18,3970
X360,2010-12-25,5652
X360,2011-01-01,4474
X360,2011-01-08,4373
X360,2011-01-15,2913
X360,2011-01-22,2931
X360,2011-01-29,3608
X360,2011-02-05,2590
X360,2011-02-12,2628
X360,2011-02-19,2561
X360,2011-02-26,4918
X360,2011-03-05,2380
X360,2011-03-12,1943
X360,2011-03-19,1339
X360,2011-03-26,1620
X360,2011-04-02,1615
X360,2011-04-09,1943
X360,2011-04-16,1918
X360,2011-04-23,1871
X360,2011-04-30,3702
X360,2011-05-07,3213
X360,2011-05-14,2707
X360,2011-05-21,2021
X360,2011-05-28,2123
X360,2011-06-04,2080
X360,2011-06-11,1972
X360,2011-06-18,2697
X360,2011-06-25,2023
X360,2011-07-02,2080
X360,2011-07-09,1983
X360,2011-07-16,1675
X360,2011-07-23,1551
X360,2011-07-30,1804
X360,2011-08-06,1450
X360,2011-08-13,1743
X360,2011-08-20,1278
X360,2011-08-27,1177
X360,2011-09-03,1039
X360,2011-09-10,983
X360,2011-09-17,1052
X360,2011-09-24,3926
X360,2011-10-01,2072
X360,2011-10-08,1438
X360,2011-10-15,1905
X360,2011-10-22,1555
X360,2011-10-29,1649
X360,2011-11-05,1616
X360,2011-11-12,1582
X360,2011-11-19,1799
X360,2011-11-26,1667
X360,2011-12-03,1631
X360,2011-12-10,3039
X360,2011-12-17,3193
X360,2011-12-24,4075
X360,2011-12-31,2308
X360,2012-01-07,2788
X360,2012-01-14,1350
X360,2012-01-21,1412
X360,2012-01-28,1075
X360,2012-02-04,1240
X360,2012-02-11,1036
X360,2012-02-18,893
X360,2012-02-25,918
X360,2012-03-03,1051
X360,2012-03-10,1077
X360,2012-03-17,954
X360,2012-03-24,979
X360,2012-03-31,1149
X360,2012-04-07,3372
X360,2012-04-14,1317
X360,2012-04-21,1207
X360,2012-04-28,1284
X360,2012-05-05,1354
X360,2012-05-12,978
X360,2012-05-19,920
X360,2012-05-26,3174
X360,2012-06-02,2812
X360,2012-06-09,978
X360,2012-06-16,908
X360,2012-06-23,1029
X360,2012-06-30,1029
X360,2012-07-07,938
X360,2012-07-14,782
X360,2012-07-21,747
X360,2012-07-28,824
X360,2012-08-04,770
X360,2012-08-11,1014
