year;inflation_rate
1960;1.41
1961;1.04
1962;1.13
1963;1.43
1964;1.6
1965;1.96
1966;3.42
1967;3.18
1968;4.16
1969;5.01
1970;4.59
1971;3.5
1972;4.13
1973;6.83
1974;11.03
1975;9.91
1976;6.64
1977;7.24
1978;8.3
1979;10.2
1980;11.84
1981;11.4
1982;8.45
1983;4.54
1984;4.3
1985;3.75
1986;3.05
1987;4.01
1988;4.05
1989;4.91
1990;5.09
1991;4.93
1992;2.26
1993;2.41
1994;1.39
1995;2.48
1996;2.25
1997;1.98
1998;1.27
1999;1.96
2000;3.05
2001;2.68
2002;1.92
2003;2.51
2004;2.27
2005;2.8
2006;2.61
2007;2.5
2008;3.1
2009;-0.03
2010;1.71
2011;3.03
2012;1.79
2013;1.2
2014;1.76
2015;0.62
2016;1.35
2017;1.86
2018;2.36
2019;1.88
2020;0.98
2021;4.05
2022;7.4
2023;4
