console,week,sales
Wii,2006-11-25,463466
Wii,2006-12-02,153381
Wii,2006-12-09,111830
Wii,2006-12-16,135970
Wii,2006-12-23,128728
Wii,2006-12-30,81954
Wii,2007-01-06,72129
Wii,2007-01-13,84524
Wii,2007-01-20,86793
Wii,2007-01-27,89256
Wii,2007-02-03,82651
Wii,2007-02-10,82166
Wii,2007-02-17,89638
Wii,2007-02-24,84187
Wii,2007-03-03,70412
Wii,2007-03-10,60821
Wii,2007-03-17,56527
Wii,2007-03-24,50970
Wii,2007-03-31,47408
Wii,2007-04-07,48709
Wii,2007-04-14,53561
Wii,2007-04-21,81631
Wii,2007-04-28,124874
Wii,2007-05-05,122642
Wii,2007-05-12,116099
Wii,2007-05-19,97203
Wii,2007-05-26,81974
Wii,2007-06-02,87310
Wii,2007-06-09,97665
Wii,2007-06-16,100690
Wii,2007-06-23,95150
Wii,2007-06-30,101538
Wii,2007-07-07,87288
Wii,2007-07-14,95558
Wii,2007-07-21,102628
Wii,2007-07-28,99811
Wii,2007-08-04,95875
Wii,2007-08-11,102053
Wii,2007-08-18,105370
Wii,2007-08-25,107813
Wii,2007-09-01,129608
Wii,2007-09-08,121399
Wii,2007-09-15,97253
Wii,2007-09-22,96262
Wii,2007-09-29,102162
Wii,2007-10-06,99692
Wii,2007-10-13,99848
Wii,2007-10-20,114857
Wii,2007-10-27,128759
Wii,2007-11-03,138059
Wii,2007-11-10,137821
Wii,2007-11-17,251238
Wii,2007-11-24,383499
Wii,2007-12-01,288811
Wii,2007-12-08,240012
Wii,2007-12-15,143967
Wii,2007-12-22,654029
Wii,2007-12-29,254209
Wii,2008-01-05,96295
Wii,2008-01-12,42728
Wii,2008-01-19,53615
Wii,2008-01-26,117708
Wii,2008-02-02,80731
Wii,2008-02-09,157238
Wii,2008-02-16,41501
Wii,2008-02-23,68708
Wii,2008-03-01,167459
Wii,2008-03-08,67160
Wii,2008-03-15,148172
Wii,2008-03-22,216423
Wii,2008-03-29,93617
Wii,2008-04-05,179104
Wii,2008-04-12,102727
Wii,2008-04-19,177434
Wii,2008-04-26,80223
Wii,2008-05-03,333130
Wii,2008-05-10,123983
Wii,2008-05-17,99674
Wii,2008-05-24,308891
Wii,2008-05-31,150985
Wii,2008-06-07,127453
