id,week,console,region,values
0,2020-11-14,PS5,Global,1464910.0
0,2020-11-21,PS5,Global,1001418.0
0,2021-11-13,PS5,Global,269468.0
0,2021-11-20,PS5,Global,283356.0
0,2021-11-27,PS5,Global,325503.0
0,2022-11-26,PS5,Global,1040393.0
0,2023-02-11,PS5,Global,501469.0
0,2023-11-18,PS5,Global,761254.0
0,2023-11-25,PS5,Global,1468592.0
0,2023-12-02,PS5,Global,796061.0
0,2023-12-30,PS5,Global,447516.0
0,2024-11-23,PS5,Global,871074.0
0,2024-11-30,PS5,Global,1844515.0
1,2012-11-24,WiiU,Global,472099.0
1,2012-12-08,WiiU,Global,529269.0
1,2012-12-22,WiiU,Global,318607.0
1,2013-06-01,WiiU,Global,21912.0
1,2013-06-08,WiiU,Global,20268.0
1,2013-11-23,WiiU,Global,104023.0
1,2013-11-30,WiiU,Global,240103.0
1,2013-12-07,WiiU,Global,198058.0
1,2013-12-21,WiiU,Global,350743.0
1,2014-05-31,WiiU,Global,123064.0
1,2014-06-07,WiiU,Global,88836.0
1,2014-06-14,WiiU,Global,67928.0
1,2015-11-28,WiiU,Global,255592.0
1,2015-12-05,WiiU,Global,186244.0
1,2015-12-12,WiiU,Global,234590.0
1,2015-12-19,WiiU,Global,302130.0
1,2015-12-26,WiiU,Global,343021.0
1,2016-01-02,WiiU,Global,136957.0
1,2016-11-26,WiiU,Global,51538.0
1,2016-12-03,WiiU,Global,38211.0
1,2016-12-10,WiiU,Global,39620.0
1,2016-12-17,WiiU,Global,43454.0
1,2016-12-24,WiiU,Global,45653.0
2,2020-11-14,XS,Global,1285686.0
2,2020-11-28,XS,Global,199274.0
2,2021-11-13,XS,Global,205358.0
2,2021-11-27,XS,Global,625951.0
2,2021-12-25,XS,Global,454633.0
2,2022-04-02,XS,Global,209718.0
2,2022-11-12,XS,Global,130018.0
2,2022-11-26,XS,Global,731818.0
2,2023-11-25,XS,Global,546226.0
2,2023-12-16,XS,Global,389222.0
2,2023-12-23,XS,Global,456216.0
2,2024-11-09,XS,Global,89201.0
2,2024-11-23,XS,Global,134617.0
2,2024-12-21,XS,Global,212231.0
3,2017-03-04,NS,Global,1400822.0
3,2017-11-25,NS,Global,856754.0
3,2018-03-03,NS,Global,191179.0
3,2018-11-24,NS,Global,1379280.0
3,2018-12-01,NS,Global,770844.0
3,2018-12-08,NS,Global,1194167.0
3,2019-03-02,NS,Global,256993.0
3,2019-03-23,NS,Global,219395.0
3,2019-09-21,NS,Global,600282.0
3,2019-11-23,NS,Global,616220.0
3,2019-11-30,NS,Global,1852859.0
3,2020-03-21,NS,Global,976393.0
3,2020-03-28,NS,Global,763344.0
3,2021-10-09,NS,Global,849394.0
3,2023-04-29,NS,Global,553289.0
4,2011-12-17,PSV,Global,322488.0
4,2011-12-24,PSV,Global,88451.0
4,2011-12-31,PSV,Global,48634.0
4,2012-01-07,PSV,Global,43162.0
4,2012-02-18,PSV,Global,85252.0
4,2012-02-25,PSV,Global,351916.0
4,2012-06-16,PSV,Global,66866.0
4,2012-09-01,PSV,Global,80758.0
4,2012-10-13,PSV,Global,33208.0
4,2012-11-17,PSV,Global,92502.0
4,2012-11-24,PSV,Global,206268.0
4,2012-12-01,PSV,Global,113335.0
4,2012-12-15,PSV,Global,144376.0
4,2012-12-22,PSV,Global,165392.0
4,2012-12-29,PSV,Global,112712.0
4,2013-02-16,PSV,Global,30261.0
4,2013-02-23,PSV,Global,34183.0
4,2013-03-09,PSV,Global,79809.0
4,2013-06-15,PSV,Global,29894.0
4,2013-08-31,PSV,Global,36208.0
4,2013-10-12,PSV,Global,84638.0
4,2013-10-19,PSV,Global,58469.0
4,2013-11-16,PSV,Global,127792.0
4,2013-11-23,PSV,Global,80548.0
4,2013-11-30,PSV,Global,136707.0
4,2013-12-14,PSV,Global,132103.0
4,2013-12-21,PSV,Global,156236.0
4,2013-12-28,PSV,Global,172379.0
4,2014-01-04,PSV,Global,128617.0
4,2014-01-11,PSV,Global,64293.0
4,2014-01-18,PSV,Global,51670.0
4,2014-02-22,PSV,Global,39679.0
4,2014-03-01,PSV,Global,42551.0
4,2014-05-10,PSV,Global,71695.0
4,2014-07-12,PSV,Global,56945.0
4,2014-10-11,PSV,Global,28975.0
4,2014-11-22,PSV,Global,62095.0
4,2014-11-29,PSV,Global,107935.0
4,2014-12-06,PSV,Global,104364.0
4,2014-12-13,PSV,Global,117051.0
4,2014-12-20,PSV,Global,141878.0
4,2015-02-21,PSV,Global,54033.0
4,2015-11-28,PSV,Global,51172.0
4,2015-12-05,PSV,Global,50347.0
4,2015-12-26,PSV,Global,121972.0
4,2016-01-02,PSV,Global,100087.0
4,2016-01-30,PSV,Global,56189.0
4,2016-12-24,PSV,Global,88171.0
4,2017-01-07,PSV,Global,53352.0
4,2017-12-16,PSV,Global,13709.0
4,2017-12-23,PSV,Global,17480.0
5,2004-12-11,PSP,Global,163812.0
5,2004-12-18,PSP,Global,83598.0
5,2004-12-25,PSP,Global,98771.0
5,2005-03-26,PSP,Global,516995.0
5,2005-04-02,PSP,Global,234438.0
5,2005-09-03,PSP,Global,685965.0
5,2005-09-10,PSP,Global,235414.0
5,2005-12-03,PSP,Global,522102.0
5,2005-12-10,PSP,Global,608491.0
5,2005-12-17,PSP,Global,718088.0
5,2005-12-24,PSP,Global,872252.0
5,2005-12-31,PSP,Global,422874.0
5,2006-03-25,PSP,Global,151125.0
5,2006-04-01,PSP,Global,160744.0
5,2006-09-02,PSP,Global,109896.0
5,2006-09-16,PSP,Global,101450.0
5,2006-09-23,PSP,Global,96160.0
5,2006-09-30,PSP,Global,100053.0
5,2006-10-07,PSP,Global,90666.0
5,2006-12-02,PSP,Global,344584.0
5,2006-12-16,PSP,Global,587607.0
5,2006-12-23,PSP,Global,767646.0
5,2006-12-30,PSP,Global,286237.0
5,2007-01-06,PSP,Global,269418.0
5,2007-02-24,PSP,Global,210149.0
5,2007-03-24,PSP,Global,141159.0
5,2007-03-31,PSP,Global,138964.0
5,2007-04-07,PSP,Global,149509.0
5,2007-05-12,PSP,Global,228145.0
5,2007-09-01,PSP,Global,121530.0
5,2007-09-08,PSP,Global,120771.0
5,2007-09-15,PSP,Global,330180.0
5,2007-09-22,PSP,Global,509170.0
5,2007-09-29,PSP,Global,350051.0
5,2007-10-06,PSP,Global,302480.0
5,2007-10-13,PSP,Global,254440.0
5,2007-11-24,PSP,Global,447202.0
5,2007-12-01,PSP,Global,436940.0
5,2007-12-15,PSP,Global,734620.0
5,2008-03-29,PSP,Global,326411.0
5,2008-04-05,PSP,Global,296701.0
5,2008-07-19,PSP,Global,255796.0
5,2008-08-16,PSP,Global,242941.0
5,2008-09-13,PSP,Global,144388.0
5,2008-09-20,PSP,Global,140094.0
5,2008-09-27,PSP,Global,136363.0
5,2008-10-04,PSP,Global,141670.0
5,2008-10-11,PSP,Global,141869.0
5,2008-10-18,PSP,Global,312893.0
5,2008-11-22,PSP,Global,274756.0
5,2008-11-29,PSP,Global,501600.0
5,2008-12-20,PSP,Global,789604.0
5,2008-12-27,PSP,Global,662743.0
5,2009-01-03,PSP,Global,495850.0
5,2009-10-03,PSP,Global,213188.0
5,2009-10-10,PSP,Global,182966.0
5,2009-12-05,PSP,Global,390760.0
5,2009-12-19,PSP,Global,531912.0
5,2010-01-09,PSP,Global,348838.0
5,2010-12-04,PSP,Global,563652.0
5,2010-12-11,PSP,Global,442892.0
5,2010-12-25,PSP,Global,568726.0
