console,company,north_america,europe,japan,other,global
PlayStation 2,Sony,53.65,55.28,23.18,27.90,160.01
Nintendo DS,Nintendo,57.92,51.84,32.99,11.28,154.02
Nintendo Switch,Nintendo,52.70,38.81,35.58,23.16,150.25
Game Boy,Nintendo,43.18,40.05,32.47,2.99,118.69
PlayStation 4,Sony,38.12,45.86,9.68,23.53,117.20
PlayStation,Sony,40.78,31.09,21.59,9.04,102.49
Nintendo Wii,Nintendo,45.51,33.12,12.77,10.23,101.63
PlayStation 3,Sony,29.60,30.87,10.47,16.47,87.40
Xbox 360,Microsoft,46.14,25.08,1.66,12.85,85.73
PlayStation Portable,Sony,21.62,25.31,20.02,15.57,82.52
Game Boy Advance,Nintendo,40.39,21.31,16.96,2.85,81.51
Nintendo 3DS,Nintendo,25.47,20.45,24.67,5.35,75.94
PlayStation 5,Sony,28.17,25.78,6.79,14.54,75.28
Nintendo Entertainment System,Nintendo,33.49,8.30,19.35,0.77,61.91
Xbox One,Microsoft,32.97,14.86,0.12,10.02,57.96
Super Nintendo Entertainment System,Nintendo,22.88,8.15,17.17,0.90,49.10
Sega Genesis,SEGA,18.50,8.39,3.58,3.59,34.06
Nintendo 64,Nintendo,20.11,6.35,5.54,0.93,32.93
Xbox Series X/S,Microsoft,18.55,8.35,0.67,5.15,32.73
Atari 2600,Atari,23.54,3.35,2.36,0.75,30.00
Xbox,Microsoft,15.77,7.17,0.47,1.24,24.65
GameCube,Nintendo,12.55,4.44,4.04,0.71,21.74
Sega Master System,SEGA,2.00,6.95,2.52,9.37,20.84
Nintendo Wii U,Nintendo,6.15,3.27,3.33,0.82,13.56
PlayStation Vita,Sony,2.70,2.89,5.73,1.81,13.13
GameGear,SEGA,5.40,3.23,1.78,0.21,10.62
Total,Total,737.86,530.55,315.49,212.03,1795.90
