name,console,week
Mario Kart 8 Deluxe,NS,2017-04-28
Animal Crossing: New Horizons,NS,2020-03-20
Super Smash Bros. Ultimate,NS,2018-12-07
The Legend of Zelda: Breath of the Wild,NS,2017-03-03
Super Mario Odyssey,NS,2017-10-27
Pokémon Scarlet / Violet,NS,2022-11-18
Pokémon Sword / Shield,NS,2019-11-15
The Legend of Zelda: Tears of the Kingdom,NS,2023-05-12
Super Mario Party,NS,2018-10-05
New Super Mario Bros. U Deluxe,NS,2019-01-11
Marvel's Spider-Man,PS4,2018-09-07
God of War (2018),PS4,2018-04-20
Grand Theft Auto V,PS4,2014-11-18
Horizon: Zero Dawn,PS4,2017-02-28
Uncharted 4: A Thief's End,PS4,2016-05-10
The Last of Us Remastered,PS4,2014-07-29
Call of Duty: Black Ops 3,PS4,2015-11-06
Red Dead Redemption 2,PS4,2018-10-26
Call of Duty: WWII,PS4,2017-11-03
Gran Turismo Sport,PS4,2017-10-17
Grand Theft Auto V,XOne,2014-11-18
Call of Duty: Black Ops 3,XOne,2015-11-06
Call of Duty: WWII,XOne,2017-11-03
Red Dead Redemption 2,XOne,2018-10-26
Minecraft,XOne,2014-11-18
Call of Duty: Advanced Warfare,XOne,2014-11-04
Battlefield 1,XOne,2016-10-21
Fallout 4,XOne,2015-11-10
Halo 5: Guardians,XOne,2015-10-27
Call of Duty: Black Ops IIII,XOne,2018-10-12
New Super Mario Bros.,DS,2006-05-15
Nintendogs,DS,2005-08-23
Mario Kart DS,DS,2005-11-14
Brain Age: Train Your Brain in Minutes a Day,DS,2006-04-17
Pokémon Diamond / Pearl Version,DS,2007-04-28
Pokémon Black / White Version,DS,2011-03-06
Brain Age 2: More Training in Minutes a Day,DS,2007-08-20
Pokémon Heart Gold / Soul Silver Version,DS,2010-03-14
Animal Crossing: Wild World,DS,2005-12-05
Super Mario 64 DS,DS,2004-11-20
Wii Sports,Wii,2006-11-19
Mario Kart Wii,Wii,2008-04-27
Wii Sports Resort,Wii,2009-07-26
New Super Mario Bros. Wii,Wii,2009-11-15
Wii Play,Wii,2007-02-12
Wii Fit,Wii,2008-05-21
Wii Fit Plus,Wii,2009-10-04
Super Smash Bros. Brawl,Wii,2008-03-09
Super Mario Galaxy,Wii,2007-11-12
Just Dance 2,Wii,2010-10-12
Grand Theft Auto: Liberty City Stories,PSP,2005-10-25
Grand Theft Auto: Vice City Stories,PSP,2006-10-31
Monster Hunter Freedom 3,PSP,2010-12-01
Gran Turismo,PSP,2009-10-01
Monster Hunter Freedom Unite,PSP,2009-06-23
Ratchet & Clank: Size Matters,PSP,2007-02-13
Midnight Club 3: DUB Edition,PSP,2005-06-27
Tekken: Dark Resurrection,PSP,2006-07-25
God of War: Chains of Olympus,PSP,2008-03-04
Medal of Honor Heroes,PSP,2006-10-20
Kinect Adventures!,X360,2010-11-04
Grand Theft Auto V,X360,2013-09-17
Call of Duty: Modern Warfare 3,X360,2011-11-08
Call of Duty: Black Ops,X360,2010-11-09
Halo 3,X360,2007-09-25
Call of Duty: Black Ops II,X360,2012-11-13
Call of Duty: Modern Warfare 2,X360,2009-11-10
Minecraft,X360,2013-06-04
Grand Theft Auto IV,X360,2008-04-29
Call of Duty: Ghosts,X360,2013-11-05
Grand Theft Auto V,PS3,2013-09-17
Call of Duty: Black Ops II,PS3,2012-11-13
Call of Duty: Modern Warfare 3,PS3,2011-11-08
Call of Duty: Black Ops,PS3,2010-11-09
Gran Turismo 5,PS3,2010-11-24
Call of Duty: Modern Warfare 2,PS3,2009-11-10
Grand Theft Auto IV,PS3,2008-04-29
Call of Duty: Ghosts,PS3,2013-11-05
Uncharted 3: Drake's Deception,PS3,2011-11-01
The Last of Us,PS3,2013-06-14
Mario Kart 7,3DS,2011-12-04
Pokémon X/Y,3DS,2013-10-12
Pokémon Sun/Moon,3DS,2016-11-18
Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014-11-21
New Super Mario Bros. 2,3DS,2012-08-19
Animal Crossing: New Leaf,3DS,2013-06-09
Super Mario 3D Land,3DS,2011-11-13
Super Smash Bros. for 3DS,3DS,2014-10-03
Pokémon: Ultra Sun and Ultra Moon,3DS,2017-11-17
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016-09-30
Elden Ring,XS,2022-02-25
EA Sports PGA Tour,XS,2015-07-01
Slender: The Arrival,XS,2023-09-12
The Invincible,XS,2023-11-06
Spirit of the North 2,XS,2023-10-26
The Case of the Golden Idol: The Spider of Lanka,XS,2024-07-29
Blackwind,XS,2022-01-19
Star Wars: Dark Forces Remaster,XS,2023-11-22
CLeM,XS,2024-08-17
Loot River,XS,2022-04-20
Mario Kart 8,WiiU,2014-05-30
Super Mario 3D World,WiiU,2013-11-22
New Super Mario Bros. U,WiiU,2012-11-18
Super Smash Bros. for Wii U,WiiU,2014-11-21
Nintendo Land,WiiU,2012-11-18
Splatoon,WiiU,2015-05-29
Super Mario Maker,WiiU,2015-09-11
New Super Luigi U,WiiU,2013-08-25
The Legend of Zelda: The Wind Waker,WiiU,2013-10-04
Mario Party 10,WiiU,2015-03-20
Marvel's Spider-Man 2,PS5,2023-10-20
Elden Ring,PS5,2022-02-25
Final Fantasy XVI,PS5,2023-06-22
Ratchet & Clank: Rift Apart,PS5,2021-06-11
Demon’s Souls,PS5,2020-11-12
Stellar Blade,PS5,2024-04-26
Astro Bot,PS5,2024-09-06
Returnal,PS5,2021-04-30
Uncharted: Legacy of Thieves Collection,PS5,2022-01-28
Death Stranding Director's Cut,PS5,2021-09-24
Minecraft,PSV,2014-11-11
Call of Duty Black Ops: Declassified,PSV,2012-11-13
Uncharted: Golden Abyss,PSV,2012-02-15
Persona 4 Golden,PSV,2012-11-20
Assassin's Creed III: Liberation,PSV,2012-10-30
LittleBigPlanet PS Vita,PSV,2012-09-25
Need for Speed: Most Wanted (2012),PSV,2012-10-30
Killzone: Mercenary,PSV,2013-09-10
Final Fantasy X / X-2 HD Remaster,PSV,2014-03-18
Mortal Kombat (2011),PSV,2012-05-02
