,week,console,region,values
0,2020-11-14,PS5,Global,373414.1718723477
0,2020-11-21,PS5,Global,207070.64082352573
0,2020-11-28,PS5,Global,23284.544595326122
0,2020-12-05,PS5,Global,61805.48303098878
0,2020-12-12,PS5,Global,51.261645390302874
0,2020-12-19,PS5,Global,-49531.46783198125
0,2020-12-26,PS5,Global,-61591.600482202426
0,2021-01-02,PS5,Global,-45508.760373749945
0,2021-01-09,PS5,Global,-50727.93159907806
0,2021-01-16,PS5,Global,-52358.59365273203
0,2021-01-23,PS5,Global,-40260.151986737736
0,2021-01-30,PS5,Global,-46862.812952334934
0,2021-02-06,PS5,Global,-19442.509355556103
0,2021-02-13,PS5,Global,-6518.794375970028
0,2021-02-20,PS5,Global,-1858.8707755202195
0,2021-02-27,PS5,Global,4471.154265548976
0,2021-03-06,PS5,Global,18929.553522820002
0,2021-03-13,PS5,Global,10929.574126749823
0,2021-03-20,PS5,Global,15054.162856899959
0,2021-03-27,PS5,Global,4566.646099291625
0,2021-04-03,PS5,Global,-24239.71796513308
0,2021-04-10,PS5,Global,-22683.025671702635
0,2021-04-17,PS5,Global,-34919.76555712684
0,2021-04-24,PS5,Global,-51342.1083489242
0,2021-05-01,PS5,Global,-50652.18685994207
0,2021-05-08,PS5,Global,-28141.316135605623
0,2021-05-15,PS5,Global,-8262.473095715395
0,2021-05-22,PS5,Global,-22993.50619223001
0,2021-05-29,PS5,Global,-23765.296407972288
0,2021-06-05,PS5,Global,-27585.641112739802
0,2021-06-12,PS5,Global,-20517.455396704143
0,2021-06-19,PS5,Global,-12315.147996065964
0,2021-06-26,PS5,Global,-13241.12956132082
0,2021-07-03,PS5,Global,-19394.0222089038
0,2021-07-10,PS5,Global,-7542.866520832089
0,2021-07-17,PS5,Global,-5647.123486688884
0,2021-07-24,PS5,Global,3718.7765541629924
0,2021-07-31,PS5,Global,-6756.614684024127
0,2021-08-07,PS5,Global,-1656.1932395732438
0,2021-08-14,PS5,Global,1578.0484859243443
0,2021-08-21,PS5,Global,7251.8963476510835
0,2021-08-28,PS5,Global,10270.7218028309
0,2021-09-04,PS5,Global,8293.885644030059
0,2021-09-11,PS5,Global,13743.104217582411
0,2021-09-18,PS5,Global,12383.983778202703
0,2021-09-25,PS5,Global,9728.759499009146
0,2021-10-02,PS5,Global,9473.97210242381
0,2021-10-09,PS5,Global,7334.366083093744
0,2021-10-16,PS5,Global,3106.634354630456
0,2021-10-23,PS5,Global,1097.4575868866814
0,2021-10-30,PS5,Global,-7637.796042726637
0,2021-11-06,PS5,Global,-94.03240824557724
