,week,console,region,values
0,2020-11-14,PS5,Global,350748.92382321984
0,2020-11-21,PS5,Global,347769.89594827837
0,2020-11-28,PS5,Global,344812.04242672125
0,2020-12-05,PS5,Global,341874.8553424625
0,2020-12-12,PS5,Global,338957.7039552966
0,2020-12-19,PS5,Global,336059.8636310672
0,2020-12-26,PS5,Global,333180.5960648787
0,2021-01-02,PS5,Global,330319.2340389644
0,2021-01-09,PS5,Global,327475.2068914657
0,2021-01-16,PS5,Global,324648.0266565088
0,2021-01-23,PS5,Global,321837.29057952797
0,2021-01-30,PS5,Global,319042.68234100606
0,2021-02-06,PS5,Global,316263.9620781151
0,2021-02-13,PS5,Global,313500.9647693045
0,2021-02-20,PS5,Global,310753.5700854587
0,2021-02-27,PS5,Global,308021.68108424573
0,2021-03-06,PS5,Global,305305.2156749487
0,2021-03-13,PS5,Global,302604.09645404713
0,2021-03-20,PS5,Global,299918.2370728891
0,2021-03-27,PS5,Global,297247.5468518903
0,2021-04-03,PS5,Global,294591.9324466525
0,2021-04-10,PS5,Global,291951.3164044952
0,2021-04-17,PS5,Global,289325.6721005845
0,2021-04-24,PS5,Global,286715.037246859
0,2021-05-01,PS5,Global,284119.5359947889
0,2021-05-08,PS5,Global,281539.4068672305
0,2021-05-15,PS5,Global,278975.010705414
0,2021-05-22,PS5,Global,276426.8119820363
0,2021-05-29,PS5,Global,273895.36384549784
0,2021-06-05,PS5,Global,271381.32633331924
0,2021-06-12,PS5,Global,268885.4820365313
0,2021-06-19,PS5,Global,266408.7504964872
0,2021-06-26,PS5,Global,263952.1928185516
0,2021-07-03,PS5,Global,261517.0154367978
0,2021-07-10,PS5,Global,259104.5884328376
0,2021-07-17,PS5,Global,256716.47428984178
0,2021-07-24,PS5,Global,254354.44826832094
0,2021-07-31,PS5,Global,252020.53562098334
0,2021-08-07,PS5,Global,249717.069519782
0,2021-08-14,PS5,Global,247446.80403728355
0,2021-08-21,PS5,Global,245213.0684661854
0,2021-08-28,PS5,Global,243019.99697114446
0,2021-09-04,PS5,Global,240872.86800799117
0,2021-09-11,PS5,Global,238778.59781786235
0,2021-09-18,PS5,Global,236746.4127061546
0,2021-09-25,PS5,Global,234788.64103716757
0,2021-10-02,PS5,Global,232921.41634563796
0,2021-10-09,PS5,Global,231164.62898285955
0,2021-10-16,PS5,Global,229539.57214279752
0,2021-10-23,PS5,Global,228061.1942482076
0,2021-10-30,PS5,Global,226719.6455735252
0,2021-11-06,PS5,Global,226314.34079575105
0,2021-11-13,PS5,Global,225977.64247145018
0,2021-11-20,PS5,Global,225704.86792828445
0,2021-11-27,PS5,Global,225495.48851259466
0,2021-12-04,PS5,Global,225351.8283430249
0,2021-12-11,PS5,Global,225276.41566345296
0,2021-12-18,PS5,Global,225271.78360603366
0,2021-12-25,PS5,Global,225342.686024051
0,2022-01-01,PS5,Global,225493.9326434537
0,2022-01-08,PS5,Global,225729.6430338568
0,2022-01-15,PS5,Global,226053.13175903694
0,2022-01-22,PS5,Global,226466.3658543899
0,2022-01-29,PS5,Global,226969.55039538327
0,2022-02-05,PS5,Global,227562.3755437384
0,2022-02-12,PS5,Global,228244.77881791868
0,2022-02-19,PS5,Global,229017.2845225736
0,2022-02-26,PS5,Global,229881.92333921872
0,2022-03-05,PS5,Global,230843.3621242264
0,2022-03-12,PS5,Global,231909.03429873328
0,2022-03-19,PS5,Global,233087.97467533645
0,2022-03-26,PS5,Global,234389.7159934583
0,2022-04-02,PS5,Global,235823.1658132063
0,2022-04-09,PS5,Global,237396.45516302917
0,2022-04-16,PS5,Global,239116.15736733942
0,2022-04-23,PS5,Global,240986.916084503
